#Mode,Cons,transition via,allowed,not allowed
SR_PW_MMB_Off,0,ASRS007A ASRF051A,SR_PW_MMB_On SR_PW_MMB_Off,null
SR_PW_MMB_On,4.6,ASRS006A,SR_PW_MMB_Off,null
SR_PW_NAC_Cal_Lamp_Off,0,ASRS203B ASRF051A,SR_PW_NAC_Cal_Lamp_On SR_PW_NAC_Cal_Lamp_Off,null
SR_PW_NAC_Cal_Lamp_On,6.1,ASRS203C ASRS203D,SR_PW_NAC_Cal_Lamp_Off SR_PW_NAC_Cal_Lamp_On,null
SR_PW_WAC_Cal_Lamp_Off,0,ASRS203E ASRF051A,SR_PW_WAC_Cal_Lamp_On SR_PW_WAC_Cal_Lamp_Off,null
SR_PW_WAC_Cal_Lamp_On,6.1,ASRS203F ASRS203G,SR_PW_WAC_Cal_Lamp_Off SR_PW_WAC_Cal_Lamp_On,null
SR_NAC_Door_Closed,0,ASRS110B+00:02:00 ASRS988B+00:02:00,SR_NAC_Door_Open SR_NAC_Door_Closed,null
SR_NAC_Door_Open,0,ASRS109B ASRS989B,SR_NAC_Door_Closed SR_NAC_Door_Open,null
SR_WAC_Door_Closed,0,ASRS110C+00:02:00 ASRS988C+00:02:00,SR_WAC_Door_Open SR_WAC_Door_Closed,null
SR_WAC_Door_Open,0,ASRS109C ASRS989C,SR_WAC_Door_Closed SR_WAC_Door_Open,null
RN_PW_Off,6.2,ARNF051A,RN_PW_DPUOnly,null
RN_PW_DPUOnly,10.7,ARNF050A ARNF011A,RN_PW_Off RN_PW_COPS,null
RN_PW_COPS,11,ARNF015A ARNF019A ARNF012A,RN_PW_DPUOnly RN_PW_COPS,null
